Name,BAN,ENG,ICT,Phy,Che,Bio,Math
PL307KDJS,17.0,9.0,,12.0,12.0,12.0,9.0
PL308MDHD,17.0,15.0,14.0,14.0,12.0,19.0,9.0
PL309AJDA,15.0,16.0,8.0,15.0,15.0,9.0,12.0
PL310KDJS,17.0,15.0,14.0,12.0,15.0,15.0,8.0
PL311KFJD,17.0,14.0,18.0,17.0,,15.0,13.0
PL312NVMD,15.0,8.0,7.0,6.0,5.0,10.0,4.0
PL313NFHD,14.0,11.0,8.0,7.0,14.0,13.0,11.0
PL315LEKE,15.0,14.0,12.0,9.0,14.0,9.0,
PL317JDHS,,11.0,6.0,16.0,15.0,17.0,7.0
PL318KJSA,6.0,4.0,7.0,7.0,6.0,8.0,8.0
PL319KLSA,14.0,10.0,9.0,8.0,8.0,10.0,9.0
PL321UEYR,10.0,15.0,11.0,13.0,15.0,13.0,15.0
PL325MDJF,18.0,14.0,13.0,15.0,16.0,16.0,17.0
PL326HAGS,18.0,9.0,12.0,11.0,14.0,14.0,
PL329MDNS,11.0,5.0,8.0,7.0,,8.0,6.0
PL331JAGY,17.0,14.0,4.0,11.0,,14.0,
PL334KLDS,11.0,17.0,6.0,8.0,9.0,14.0,5.0
PL337HEYW,18.0,16.0,8.0,11.0,11.0,15.0,10.0
PL338MAJS,18.0,16.0,8.0,12.0,11.0,15.0,8.0
PL339NAMS,13.0,15.0,8.0,8.0,10.0,12.0,7.0
PL340YHRT,16.0,15.0,16.0,7.0,15.0,14.0,10.0
PL341MANS,15.0,10.0,6.0,10.0,11.0,17.0,7.0
PL344JSHD,7.0,13.0,8.0,7.0,6.0,5.0,7.0
PL403KJSD,10.0,5.0,9.0,5.0,8.0,5.0,9.0
PL406KORI,,,5.0,,,,
UR284RIOE,12.0,16.0,6.0,,11.0,8.0,6.0
UR297EUOW,15.0,14.0,9.0,15.0,15.0,16.0,16.0
UR298DKFK,13.0,7.0,8.0,9.0,7.0,5.0,8.0
UR299LSFJ,12.0,15.0,6.0,12.0,15.0,17.0,15.0
ur314sjkb,15.0,13.0,15.0,7.0,13.0,9.0,11.0
UR316XMCB,16.0,13.0,11.0,14.0,15.0,14.0,
UR322ZNVL,19.0,19.0,10.0,10.0,16.0,16.0,11.0
UR327LAAD,12.0,10.0,8.0,10.0,11.0,13.0,5.0
UR328HRGM,17.0,12.0,5.0,10.0,18.0,,5.0
UR330RIOR,16.0,15.0,12.0,,13.0,14.0,9.0
UR332FJKB,,14.0,,7.0,12.0,16.0,12.0
UR333ERIO,18.0,12.0,9.0,9.0,11.0,15.0,12.0
UR342MUYU,17.0,12.0,9.0,17.0,20.0,17.0,16.0
UR343CGDT,16.0,17.0,8.0,,16.0,17.0,11.0
UR345ETYK,18.0,,9.0,13.0,,19.0,19.0
UR346EYIV,17.0,16.0,13.0,17.0,18.0,18.0,18.0
UR347CGHI,11.0,15.0,,8.0,10.0,14.0,4.0
UR348HDTE,8.0,10.0,10.0,8.0,12.0,,
UR349Duuj,,,,8.0,,,
UR350SFRG,13.0,,7.0,9.0,14.0,10.0,12.0
UR351WEQO,17.0,11.0,9.0,9.0,10.0,,6.0
UR352ERFB,14.0,,8.0,8.0,,,11.0
UR353SEYH,19.0,14.0,12.0,12.0,11.0,16.0,10.0
UR354EUKB,19.0,17.0,15.0,14.0,17.0,,14.0
UR355ERVD,16.0,,,6.0,,10.0,
UR356FSEG,,14.0,8.0,,15.0,16.0,4.0
UR357REGE,12.0,17.0,6.0,12.0,13.0,17.0,6.0
UR358GFRR,16.0,16.0,12.0,11.0,12.0,13.0,11.0
UR359CDTH,14.0,,4.0,7.0,15.0,16.0,8.0
UR360KYUR,15.0,17.0,14.0,6.0,11.0,19.0,5.0
UR361KJUF,15.0,18.0,15.0,13.0,13.0,14.0,7.0
UR362ETLO,7.0,8.0,,,5.0,,
UR363MHTJ,17.0,13.0,6.0,13.0,15.0,17.0,15.0
UR364DTIK,16.0,14.0,12.0,17.0,18.0,16.0,18.0
UR365LHJT,13.0,12.0,,11.0,13.0,15.0,10.0
UR366FYUD,15.0,14.0,10.0,15.0,16.0,18.0,12.0
UR367MJGR,7.0,15.0,9.0,17.0,17.0,17.0,
UR368VCSO,16.0,15.0,8.0,5.0,9.0,11.0,5.0
UR369ZSWR,17.0,17.0,11.0,7.0,12.0,19.0,8.0
UR370JYYT,15.0,9.0,8.0,6.0,12.0,,5.0
UR371PUIG,14.0,15.0,11.0,6.0,8.0,13.0,2.0
UR372URGB,15.0,10.0,8.0,10.0,12.0,18.0,6.0
UR373GHUI,15.0,5.0,10.0,5.0,8.0,,7.0
UR374RYSD,20.0,15.0,15.0,9.0,18.0,16.0,12.0
UR376FBFR,,6.0,6.0,15.0,10.0,16.0,7.0
UR378DFHV,12.0,11.0,9.0,7.0,13.0,9.0,8.0
UR379DFTY,16.0,9.0,2.0,,,,5.0
UR380NBFJ,10.0,14.0,13.0,9.0,16.0,14.0,14.0
UR381POER,15.0,16.0,,12.0,14.0,14.0,
UR383DHJS,16.0,,,11.0,4.0,13.0,6.0
UR384SHJE,12.0,9.0,9.0,7.0,12.0,14.0,7.0
UR385IREO,18.0,15.0,2.0,17.0,16.0,16.0,
UR386MNJH,16.0,15.0,10.0,16.0,20.0,16.0,16.0
UR388BDDK,16.0,,11.0,11.0,14.0,9.0,10.0
UR390NHIR,16.0,15.0,13.0,10.0,9.0,15.0,12.0
UR391OPEW,17.0,16.0,15.0,15.0,16.0,18.0,15.0
ur393dfnm,17.0,10.0,,,15.0,15.0,
UR394EITU,14.0,5.0,7.0,5.0,5.0,8.0,8.0
UR396FKDS,14.0,9.0,11.0,16.0,19.0,12.0,16.0
UR397ERIA,16.0,14.0,8.0,6.0,15.0,15.0,8.0
UR398ADSF,13.0,8.0,,10.0,6.0,6.0,14.0
UR400DERU,,10.0,9.0,5.0,,,
UR401EIOF,,,,,11.0,10.0,11.0
UR402IERU,7.0,2.0,,,,,
UR404JKDE,17.0,11.0,6.0,16.0,12.0,15.0,10.0
UR405HGTU,17.0,14.0,12.0,,14.0,19.0,8.0
Ne245itrk,,,,,,,4.0
PA216KALS,,,,,,,13.0
DU156Hero,,,,,,,8.0
